,Accession number,UniProt Annotation Status,Description,Cluster numbers
3129,A0A178ECK2,TrEMBL,Acyl-CoA N-acyltransferase ,13
3130,A0A178EZD0,TrEMBL,GNAT family acetyltransferase Nat4 ,13
3131,A0A0G2F7F9,TrEMBL,Uncharacterized protein ,13
3132,A0A0E9NNC0,TrEMBL,Uncharacterized protein ,13
3133,A0A0G2EAE5,TrEMBL,Putative gnat family acetyltransferase ,13
3134,A0A194UW32,TrEMBL,N-alpha-acetyltransferase 40 ,13
3135,R4X8A1,TrEMBL,Putative GNAT family acetyltransferase Nat4 ,13
3136,F0XAB5,TrEMBL,Gcn5-related n-acetyltransferase ,13
3137,A0A0F0IM34,TrEMBL,Acetyltransferase GNAT family protein ,13
3138,A0A0N0NSK7,TrEMBL,Putative N-acetyltransferase ,13
3139,A0A0F2MI55,TrEMBL,GNAT family acetyltransferase Nat4 ,13
3140,Q0UXV1,TrEMBL,Uncharacterized protein ,13
3141,A0A094DR57,TrEMBL,Uncharacterized protein ,13
3142,A0A0F4GQH4,TrEMBL,Uncharacterized protein ,13
3143,W9XQ46,TrEMBL,Uncharacterized protein ,13
3144,A0A0F4YX21,TrEMBL,Uncharacterized protein ,13
3145,G2QKM1,TrEMBL,Uncharacterized protein ,13
3146,A0A0D2A6P0,TrEMBL,Uncharacterized protein ,13
3147,A0A0F4ZAS0,TrEMBL,Uncharacterized protein ,13
3148,A0A017SSD1,TrEMBL,GNAT family acetyltransferase Nat4 ,13
3149,R1GC14,TrEMBL,Putative gnat family acetyltransferase nat4 protein ,13
3150,A0A1A7MBE5,TrEMBL,Uncharacterized protein ,13
3151,A0A167GPA9,TrEMBL,GNAT family acetyltransferase Nat4 ,13
3152,A0A084RA69,TrEMBL,Uncharacterized protein ,13
3153,A0A0M8MVS6,TrEMBL,Putative N-acetyltransferase ,13
3154,A0A0F7ZSL0,TrEMBL,Uncharacterized protein ,13
3155,A0A167UGG9,TrEMBL,Acyl-CoA N-acyltransferase ,13
3156,A0A0A1SWL7,TrEMBL,Uncharacterized protein ,13
3157,R0JI68,TrEMBL,Uncharacterized protein ,13
3158,A0A0F8DFD1,TrEMBL,Putative N-acetyltransferase ,13
3159,A0A0F8UFB9,TrEMBL,Uncharacterized protein ,13
3160,A0A0F8V3C3,TrEMBL,Uncharacterized protein ,13
3161,G1WY90,TrEMBL,Uncharacterized protein ,13
3162,J3NFQ2,TrEMBL,Uncharacterized protein ,13
3163,A0A167Z1Z0,TrEMBL,GNAT family acetyltransferase Nat4 ,13
3164,A0A0F9XKM1,TrEMBL,Uncharacterized protein ,13
3165,A0A1Y2DF20,TrEMBL,Acyl-CoA N-acyltransferase ,13
3166,A0A0K8L5W5,TrEMBL,Uncharacterized N-acetyltransferase C825 4c ,13
3167,A0A0U5CQL6,TrEMBL,Uncharacterized protein ,13
3168,A0A0B1P3S5,TrEMBL,Putative acyl-n-acyltransferase ,13
3169,S3CUR8,TrEMBL,Gnat family acetyltransferase ,13
3170,A0A218YWI9,TrEMBL,Uncharacterized protein ,13
3171,A0A086T289,TrEMBL,Putative N-acetyltransferase-like protein ,13
3172,A0A0S6XS43,TrEMBL,Uncharacterized protein ,13
3173,A0A1Z5TKT4,TrEMBL,Uncharacterized protein ,13
3174,C9SF24,TrEMBL,Uncharacterized protein ,13
3175,A0A1L7WTH7,TrEMBL,Uncharacterized protein ,13
3176,M1ZJE9,TrEMBL,Uncharacterized protein ,13
3177,T0LTZ8,TrEMBL,Acetyltransferase ,13
3178,A0A0D1XX05,TrEMBL,Uncharacterized protein ,13
3179,A0A0D1Y4K6,TrEMBL,Uncharacterized protein ,13
3180,T5AL09,TrEMBL,Acetyltransferase ,13
3181,A0A1Z1CDZ9,TrEMBL,Putative GNAT-family acetyltransferase ,13
3182,M2LKT0,TrEMBL,Uncharacterized protein ,13
3183,A0A1L9TKR6,TrEMBL,Uncharacterized protein ,13
3184,S8AWI2,TrEMBL,Uncharacterized protein ,13
3185,G9MII6,TrEMBL,Uncharacterized protein ,13
3186,A0A0A2W0W1,TrEMBL,Putative N-acetyltransferase ,13
3187,A0A136IXB4,TrEMBL,Uncharacterized protein ,13
3188,A0A1L9SBL7,TrEMBL,Uncharacterized protein ,13
3189,A0A100IAC2,TrEMBL,GNAT family acetyltransferase Nat4 ,13
3190,A0A1Y2MFH0,TrEMBL,Uncharacterized protein ,13
3191,A0A0C4DZY9,TrEMBL,Uncharacterized protein ,13
3192,A0A151GC49,TrEMBL,Uncharacterized protein ,13
3193,A0A1Y2VVP3,TrEMBL,Uncharacterized protein ,13
3194,A0A0B0DV38,TrEMBL,Uncharacterized protein ,13
3195,M2UBV0,TrEMBL,Uncharacterized protein ,13
3196,A0A139IPZ1,TrEMBL,Uncharacterized protein ,13
3197,A0A1J7JKB7,TrEMBL,Acyl-CoA N-acyltransferase ,13
3198,S3DMJ5,TrEMBL,Acyl-CoA N-acyltransferases (Nat) ,13
3199,A0A0U1M6A0,TrEMBL,Uncharacterized protein ,13
3200,A0A135SM12,TrEMBL,Acetyltransferase ,13
3201,A0A0C3H4T6,TrEMBL,Uncharacterized protein ,13
3202,A0A0W4ZBY5,TrEMBL,Uncharacterized protein ,13
3203,A0A1L9S1I7,TrEMBL,Uncharacterized protein ,13
3204,U1G8Y9,TrEMBL,Uncharacterized protein ,13
3205,A0A150V0T2,TrEMBL,Uncharacterized protein ,13
3206,A0A1J9RZH7,TrEMBL,Fad binding domain-containing protein ,13
3207,M1VVM9,TrEMBL,Uncharacterized protein ,13
3208,E3RU23,TrEMBL,Uncharacterized protein ,13
3209,A0A063BQH9,TrEMBL,GNAT family acetyltransferase ,13
3210,A0A1L9X618,TrEMBL,Uncharacterized protein ,13
3211,C1BR60,TrEMBL,Diamine acetyltransferase 2 ,14
3212,Q01612,SwissProt,Diamine acetyltransferase 1,14
3213,H3AFC7,TrEMBL,Uncharacterized protein ,14
3214,A0A146QTQ0,TrEMBL,Diamine acetyltransferase 1 ,14
3215,A0A034WLI5,TrEMBL,Diamine acetyltransferase 2 ,14
3216,A0A1D1VB19,TrEMBL,Uncharacterized protein ,14
3218,E9PD37,TrEMBL,Diamine acetyltransferase 1 ,14
3219,T1EGI1,TrEMBL,Uncharacterized protein ,14
3220,A0A2R8Y5C1,TrEMBL,Spermidine/spermine N(1)-acetyltransferase-like protein 1 ,14
3221,A0A2R8YFQ0,TrEMBL,Spermidine/spermine N(1)-acetyltransferase-like protein 1 ,14
3222,A0A1S3CYK1,TrEMBL,diamine acetyltransferase 2 isoform X4 ,14
3223,A0A1S3DDM8,TrEMBL,diamine acetyltransferase 2-like isoform X1 ,14
3224,B4JGB0,TrEMBL,GH18843 ,14
3225,G1SYJ2,TrEMBL,Uncharacterized protein ,14
3226,A0A131YI41,TrEMBL,Diamine N-acetyltransferase ,14
3227,J3JUD9,TrEMBL,Uncharacterized protein ,14
3228,V4BGM4,TrEMBL,Uncharacterized protein ,14
3229,A0A151P6V0,TrEMBL,Sentrin-specific protease 3 ,14
3230,A0A0A9W313,TrEMBL,Diamine acetyltransferase 2 ,14
3231,K7FT97,TrEMBL,Uncharacterized protein ,14
3232,A2VED4,TrEMBL,Augmented expression in SLE 3 ,14
3233,Q3T0Q0,SwissProt,Diamine acetyltransferase 1,14
3234,A0A151P702,TrEMBL,Diamine acetyltransferase 2-like ,14
3235,K7E2Q3,TrEMBL,Uncharacterized protein ,14
3236,P21673,SwissProt,Diamine acetyltransferase 1,14
3237,W4ZI77,TrEMBL,Uncharacterized protein ,14
3238,A0A212C1B9,TrEMBL,SAT1 ,14
3239,A0A1B0GF52,TrEMBL,Uncharacterized protein ,14
3240,A0A1Y1LF76,TrEMBL,Uncharacterized protein ,14
3241,P48026,SwissProt,Diamine acetyltransferase 1,14
3242,P49431,SwissProt,Diamine acetyltransferase 1,14
3243,A0A0A9WNL3,TrEMBL,Diamine acetyltransferase 2 ,14
3244,A0A1Y1KZR6,TrEMBL,Uncharacterized protein ,14
3245,A0A384NQ10,TrEMBL,Epididymis secretory sperm binding protein ,14
3246,A0A0L7KUQ5,TrEMBL,Diamine acetyltransferase 2 ,14
3247,Q9JHW6,SwissProt,Diamine acetyltransferase 1,14
3248,A0A146NT95,TrEMBL,Diamine acetyltransferase 1 ,14
3249,A0A1U7V1P3,TrEMBL,spermidine/spermine N(1)-acetyltransferase-like protein 1 ,14
3250,A0A1S3QAR1,TrEMBL,diamine acetyltransferase 1-like ,14
3251,Q8AXL1,SwissProt,Diamine acetyltransferase 1,14
3252,R4WDP0,TrEMBL,Uncharacterized protein ,14
3253,A0A232F6G7,TrEMBL,Uncharacterized protein ,14
3254,A0A1B6G842,TrEMBL,Uncharacterized protein ,14
3255,D3ZA19,TrEMBL,Spermidine/spermine N1-acetyl transferase-like 1 ,14
3256,D3PK54,TrEMBL,Diamine acetyltransferase 2 ,14
3257,A0A1W0WVG3,TrEMBL,Putative Diamine acetyltransferase 2 ,14
3258,M7BYC0,TrEMBL,Eukaryotic initiation factor 4A-I ,14
3259,A0A212FKE3,TrEMBL,Diamine acetyltransferase 2 like protein ,14
3260,W5N9F4,TrEMBL,Uncharacterized protein ,14
3261,Q502X4,TrEMBL,SAT2 protein ,14
3262,V9LBM8,TrEMBL,Diamine acetyltransferase 2-like protein ,14
3263,A0A131Y2T2,TrEMBL,Putative diamine acetyltransferase ,14
3264,A0A1B6BXJ0,TrEMBL,Uncharacterized protein ,14
3265,A0A195DF80,TrEMBL,Diamine acetyltransferase 2 ,14
3266,T1IZT4,TrEMBL,Uncharacterized protein ,14
3267,A0A1S3NI65,TrEMBL,diamine acetyltransferase 1-like isoform X1 ,14
3268,A0A1S3FVL1,TrEMBL,spermidine/spermine N(1)-acetyltransferase-like protein 1 ,14
3269,A0A1B6J863,TrEMBL,Uncharacterized protein ,14
3270,S4S0J2,TrEMBL,Spermidine/spermine N1-acetyltransferase family member 2a ,14
3271,C1BTY6,TrEMBL,Diamine acetyltransferase 2 ,14
3272,A0A1S3HNP6,TrEMBL,diamine acetyltransferase 2 ,14
3273,A0A1S3HNR2,TrEMBL,diamine acetyltransferase 2 ,14
3274,T1KRC8,TrEMBL,Uncharacterized protein ,14
3275,A0A1J1IIR2,TrEMBL,CLUMA_CG011706,14
3276,A0A0B7ABS6,TrEMBL,Uncharacterized protein ,14
3277,M2X1I9,TrEMBL,Diamine N-acetyltransferase ,14
3278,X2APN7,TrEMBL,Uncharacterized protein ,14
3279,A0A060Y5Y8,TrEMBL,Uncharacterized protein ,14
3280,I3L0W4,TrEMBL,Diamine acetyltransferase 2 ,14
3281,Q86VE3,SwissProt,Spermidine/spermine N(1)-acetyltransferase-like protein 1,14
3282,S4P0I9,TrEMBL,Diamine acetyltransferase 2 ,14
3283,F0YJB5,TrEMBL,Uncharacterized protein ,14
3284,A0A067R4J9,TrEMBL,Diamine acetyltransferase 2 ,14
3285,A0A1B6LZY8,TrEMBL,Uncharacterized protein ,14
3286,A0A1B6K3T3,TrEMBL,Uncharacterized protein ,14
3287,A0A0N1PFW3,TrEMBL,Diamine acetyltransferase 2 ,14
3288,A0A023F8G4,TrEMBL,Putative diamine acetyltransferase ,14
3289,A0A146TSS0,TrEMBL,Diamine acetyltransferase 1 ,14
3290,A0A1D2NEK1,TrEMBL,Diamine acetyltransferase 2 ,14
3291,K7GT63,TrEMBL,Diamine acetyltransferase 1 ,14
3292,A0A0P6B7J5,TrEMBL,Diamine acetyltransferase ,14
3293,G3RJP2,TrEMBL,Spermidine/spermine N1-acetyl transferase like 1 ,14
3294,A0A0P6A5F8,TrEMBL,Uncharacterized protein ,14
3295,H9GKL0,TrEMBL,Uncharacterized protein ,14
3296,A0A147A3Z9,TrEMBL,Diamine acetyltransferase 2 ,14
3297,A0A1E1X0J1,TrEMBL,Putative diamine acetyltransferase ,14
3298,G3QAU4,TrEMBL,Spermidine/spermine N1-acetyltransferase family member 2b ,14
3299,A0A023EIU0,TrEMBL,Putative diamine acetyltransferase ,14
3300,H9GLJ6,TrEMBL,Uncharacterized protein ,14
3301,A0A0P5X7M1,TrEMBL,Uncharacterized protein ,14
3302,A0A088AS02,TrEMBL,Uncharacterized protein ,14
3303,Q96F10,SwissProt,Diamine acetyltransferase 2,14
3304,F6WT70,TrEMBL,Uncharacterized protein ,14
3305,Q7PCJ8,SwissProt,Diamine acetyltransferase 2,14
3306,B4NBB2,TrEMBL,Uncharacterized protein ,14
3307,C1C2N5,TrEMBL,Diamine acetyltransferase 2 ,14
3308,W4Y9L7,TrEMBL,Uncharacterized protein ,14
3309,A0A1L8F7V3,TrEMBL,Uncharacterized protein ,14
3310,A0A210Q6T7,TrEMBL,Diamine acetyltransferase 1 ,14
3311,A0A1A7YVC0,TrEMBL,Spermidine/spermine N1-acetyl transferase-like 1 ,14
3312,A0A147A4I8,TrEMBL,Diamine acetyltransferase 2 ,14
3313,F7BA78,TrEMBL,Uncharacterized protein ,14
3314,A0A0L0CAF8,TrEMBL,Uncharacterized protein ,14
3315,Q6P8J2,SwissProt,Diamine acetyltransferase 2,14
3316,A0A1Q3FFQ5,TrEMBL,Uncharacterized protein ,14
3317,A0A182MPC3,TrEMBL,Uncharacterized protein ,14
3318,A0A154PGU4,TrEMBL,Diamine acetyltransferase 2 ,14
3319,A0A158NQ88,TrEMBL,Uncharacterized protein ,14
3320,A0A182J7V4,TrEMBL,Uncharacterized protein ,14
3321,A7RYK2,TrEMBL,Predicted protein ,14
3322,M3XS49,TrEMBL,Uncharacterized protein ,14
3323,A0A182V5P1,TrEMBL,Uncharacterized protein ,14
3324,B4PS81,TrEMBL,Uncharacterized protein ,14
3325,A0A069DNH9,TrEMBL,Putative diamine acetyltransferase ,14
3326,A0A1A6HEH2,TrEMBL,Uncharacterized protein ,14
3327,A0A210Q6T2,TrEMBL,Diamine acetyltransferase 2 ,14
3328,Q28999,SwissProt,Diamine acetyltransferase 1,14
3329,G3SRG8,TrEMBL,Uncharacterized protein ,14
3330,A0A1Y3B4P5,TrEMBL,Uncharacterized protein ,14
3331,B3RI51,TrEMBL,Uncharacterized protein ,14
3332,C3Z8B6,TrEMBL,Uncharacterized protein ,14
3333,F2U310,TrEMBL,N-acetyltransferase ,14
3334,F7EGI7,TrEMBL,Spermidine/spermine N1-acetyltransferase family member 2 ,14
3335,A0A099ZN57,TrEMBL,Spermidine/spermine N(1)-acetyltransferase-like 1 ,14
3336,A0A1U8CFH8,TrEMBL,spermidine/spermine N(1)-acetyltransferase-like protein 1 ,14
3337,A0A1U8BI38,TrEMBL,diamine acetyltransferase 2 isoform X1 ,14
3338,L7LSN2,TrEMBL,Putative diamine acetyltransferase ,14
3339,G3IDU2,TrEMBL,Spermidine/spermine N(1)-acetyltransferase-like protein 1 ,14
3340,A0A1D5QQY9,TrEMBL,Uncharacterized protein ,14
3341,T0NHI7,TrEMBL,Fragile X mental retardation syndrome related protein 2 ,14
3342,A0A1L8DC54,TrEMBL,Uncharacterized protein ,14
3343,A0A1W4W939,TrEMBL,diamine acetyltransferase 2 ,14
3344,G3GY70,TrEMBL,Fragile X mental retardation syndrome-related protein 2 ,14
3345,A0A1B0DP73,TrEMBL,Uncharacterized protein ,14
3346,K1R2P1,TrEMBL,Diamine acetyltransferase 2 ,14
3347,A0A210Q6Y3,TrEMBL,Diamine acetyltransferase 2 ,14
3348,A0A194Q0P1,TrEMBL,Diamine acetyltransferase 2 ,14
3349,K7IUH4,TrEMBL,Uncharacterized protein ,14
3350,A0A1W0WV77,TrEMBL,Putative Diamine acetyltransferase 2 ,14
3351,A0A146WK08,TrEMBL,Diamine acetyltransferase 2 ,14
3352,W4XP19,TrEMBL,Uncharacterized protein ,14
3353,W4Z0L7,TrEMBL,Uncharacterized protein ,14
3354,E2BV25,TrEMBL,Diamine acetyltransferase 2 ,14
3355,Q7PCJ9,SwissProt,Diamine acetyltransferase 2,14
3356,A0A151WXR9,TrEMBL,Diamine acetyltransferase 2 ,14
3357,A0A0P4WEF0,TrEMBL,Uncharacterized protein ,14
3358,H0WNL9,TrEMBL,Uncharacterized protein ,14
3359,F6W881,TrEMBL,diamine acetyltransferase 2 ,14
3360,C3YJY2,TrEMBL,Uncharacterized protein ,14
3361,A0A1L8H4E8,TrEMBL,Uncharacterized protein ,14
3362,C3YEA3,TrEMBL,Uncharacterized protein ,14
3363,C3YEA2,TrEMBL,Uncharacterized protein ,14
3365,L5LG33,TrEMBL,Diamine acetyltransferase 1 ,14
3366,Q9D5N8,SwissProt,Spermidine/spermine N(1)-acetyltransferase-like protein 1,14
3367,K1QW18,TrEMBL,Diamine acetyltransferase 2 ,14
3368,A0A226E2E1,TrEMBL,Diamine acetyltransferase 2 ,14
3369,A0A146Y127,TrEMBL,Diamine acetyltransferase 1 ,14
3370,A0A1W4YBC5,TrEMBL,diamine acetyltransferase 2 ,14
3373,G1XK70,TrEMBL,Uncharacterized protein ,15
3374,A0A063BU50,TrEMBL,Acetyltransferase ,15
3375,A0A1S9RS36,TrEMBL,N-acetyltransferase ats1 ,15
3376,A0A136IVT8,TrEMBL,Acyl-CoA N-acyltransferase ,15
3377,J3KDY6,TrEMBL,Acetyltransferase ,15
3378,A0A137Q4N4,TrEMBL,Diamine acetyltransferase 2 ,15
3379,A0A0G4L5N4,TrEMBL,Uncharacterized protein ,15
3380,D5GH51,TrEMBL,Uncharacterized protein ,15
3381,F4P6E6,TrEMBL,Uncharacterized protein ,15
3382,W7NAE0,TrEMBL,Uncharacterized protein ,15
3383,S8AKM2,TrEMBL,Uncharacterized protein ,15
3384,A0A0H2RQH0,TrEMBL,Acyl-CoA N-acyltransferase ,15
3385,A0A135LHU9,TrEMBL,Uncharacterized protein ,15
3386,W2S2W4,TrEMBL,Uncharacterized protein ,15
3387,K1X9K0,TrEMBL,Gcn5-related n-acetyltransferase ,15
3388,W9CEM9,TrEMBL,N-acetyltransferase ats1 ,15
3389,A0A0G4EC86,TrEMBL,Uncharacterized protein ,15
3390,J4HTM5,TrEMBL,Uncharacterized protein ,15
3391,A0A0G2HNU2,TrEMBL,Putative n-acetyltransferase ats1 ,15
3392,G0SUR3,TrEMBL,Proteophosphoglycan ppg4 ,15
3393,A0A0G4G7X5,TrEMBL,Uncharacterized protein ,15
3394,A0A067NFH8,TrEMBL,Uncharacterized protein ,15
3395,A8NC94,TrEMBL,Uncharacterized protein ,15
3396,D8QH85,TrEMBL,Uncharacterized protein ,15
3397,A0A1V1TS05,TrEMBL,Uncharacterized protein ,15
3398,A0A0L0HA35,TrEMBL,Uncharacterized protein ,15
3399,A0A084GEE9,TrEMBL,N-acetyltransferase ats1 ,15
3400,A0A0C3HAR9,TrEMBL,Uncharacterized protein ,15
3401,J5TB30,TrEMBL,Uncharacterized protein ,15
3402,S9W4H1,TrEMBL,N-acetyltransferase Ats1 ,15
3403,A0A1V6QKW6,TrEMBL,Uncharacterized protein ,15
3404,A0A0J0XLT1,TrEMBL,Acyl-CoA N-acyltransferase ,15
3405,F4Q8P0,TrEMBL,HAG group protein ,15
3406,A0A0C4DNB1,TrEMBL,N-acetyltransferase ats1 ,15
3407,A0A024TT83,TrEMBL,Uncharacterized protein ,15
3408,A0A0I9YTG6,TrEMBL,Acetyltransferase ,15
3409,B2AC92,TrEMBL,Podospora anserina S mat+ genomic DNA chromosome 3,15
3410,A0A1U7LLH0,TrEMBL,Carnitine O-acetyltransferase,15
3411,J5JS77,TrEMBL,Acyl-CoA N-acyltransferase ,15
3412,A0A177V3Y3,TrEMBL,Uncharacterized protein ,15
3413,A0A077R0K8,TrEMBL,Related to n-acetyltransferase ,15
3414,A0A0F8WUD9,TrEMBL,Uncharacterized protein ,15
3415,Q54W72,TrEMBL,HAG group protein ,15
3416,A0A0G2E9V7,TrEMBL,Putative nuclear envelope protein brr6 ,15
3417,A0A194S8C6,TrEMBL,Uncharacterized protein ,15
3418,A0A179HM93,TrEMBL,N-acetyltransferase ats1 ,15
3419,A0A086SVT5,TrEMBL,N-acetyltransferase-like protein ,15
3420,A0A024SG42,TrEMBL,Acyl-CoA N-acyltransferase ,15
3421,A0A0G4KY62,TrEMBL,Uncharacterized protein ,15
3422,A0A0C3QHP5,TrEMBL,Uncharacterized protein ,15
3423,A0A0N0NNA0,TrEMBL,Putative acetyltransferase NATA1-like protein ,15
3424,A0A1S8W1U9,TrEMBL,Uncharacterized protein ,15
3425,G7E7G8,TrEMBL,Uncharacterized protein ,15
3426,C7ZAB8,TrEMBL,Uncharacterized protein ,15
3427,A0A1Y1Z8N4,TrEMBL,Diamine acetyltransferase ,15
3428,A0A1E3I8T9,TrEMBL,Uncharacterized protein ,15
3429,A0A0D1WM97,TrEMBL,Uncharacterized protein ,15
3430,A0A0S6XGK1,TrEMBL,Uncharacterized protein ,15
3431,A0A1E3BF94,TrEMBL,Uncharacterized protein ,15
3432,A0A1Y2G1X1,TrEMBL,N-acetyltransferase GCN5 ,15
3433,A0A066VYD2,TrEMBL,Acyl-CoA N-acyltransferase ,15
3434,M3DA13,TrEMBL,Acyl-CoA N-acyltransferase ,15
3435,A0A1Y1YPL9,TrEMBL,GCN5-related N-acetyltransferas-like protein ,15
3436,A0A1J8R7A5,TrEMBL,Uncharacterized protein ,15
3437,N1PU37,TrEMBL,Uncharacterized protein ,15
3438,L7JQH5,TrEMBL,N-acetyltransferase ats1 ,15
3439,A0A067M715,TrEMBL,Uncharacterized protein ,15
3440,R7Z788,TrEMBL,Uncharacterized protein ,15
3441,A0A163KBM5,TrEMBL,Uncharacterized protein ,15
3442,A0A074XKC5,TrEMBL,GCN5-related N-acetyltransferas-like protein ,15
3443,U7Q0Q5,TrEMBL,Uncharacterized protein ,15
3444,A0A1Y1WCX2,TrEMBL,Acyl-CoA N-acyltransferase ,15
3445,A0A0P1BFD6,TrEMBL,Diamine n-acetyltransferase ,15
3447,A0A1L9TUA6,TrEMBL,Uncharacterized protein ,15
3448,A0A261Y4G9,TrEMBL,Uncharacterized protein ,15
3449,V2X421,TrEMBL,Diamine n-acetyltransferase ,15
3450,A0A0D6EGD8,TrEMBL,SPOSA6832_00581-mRNA-1:cds ,15
3451,A0A1Y2GH94,TrEMBL,Acyl-CoA N-acyltransferase ,15
3452,C7ZQ49,TrEMBL,Uncharacterized protein ,15
3453,A0A1V8T6L7,TrEMBL,Uncharacterized protein ,15
3454,A0A0D1Y655,TrEMBL,Uncharacterized protein ,15
3455,A0A0A2JNH8,TrEMBL,Acyl-CoA N-acyltransferase ,15
3456,A0A151GXU1,TrEMBL,Acetyltransferase ,15
3457,A0A1M8A9A5,TrEMBL,Uncharacterized protein ,15
3458,A0A0D1ZVM1,TrEMBL,Uncharacterized protein ,15
3459,A0A150V0A5,TrEMBL,Uncharacterized protein ,15
3460,U4L7A1,TrEMBL,Similar to N-acetyltransferase ats1 acc. no. P79081 ,15
3461,A0A1J9PAC8,TrEMBL,Uncharacterized protein ,15
3462,A0A0D1Z7A7,TrEMBL,Uncharacterized protein ,15
3463,G4T7J9,TrEMBL,Related to n-acetyltransferase ,15
3464,A0A1E3Q9L4,TrEMBL,Uncharacterized protein ,15
3465,A0A1Y2FR15,TrEMBL,Acyl-CoA N-acyltransferase ,15
3466,A0A1Y2CD96,TrEMBL,Acetyltransferase protein ,15
3467,A0A179F7F0,TrEMBL,Acetyltransferase ,15
3468,A0A0D1YYF8,TrEMBL,Uncharacterized protein ,15
3469,A0A178E3P3,TrEMBL,Acyl-CoA N-acyltransferase ,15
3470,A0A0P7BVJ8,TrEMBL,Uncharacterized protein ,15
3471,A0A1Y2B1B9,TrEMBL,Acyl-CoA N-acyltransferase ,15
3472,A0A1G4ASS8,TrEMBL,Uncharacterized protein ,15
3473,G4ZXW8,TrEMBL,Uncharacterized protein ,15
3474,H6C5R4,TrEMBL,GNAT family acetyltransferase ,15
3475,A0A152A975,TrEMBL,GCN5-related N-acetyltransferase ,15
3477,A0A226BML9,TrEMBL,Acetyltransferase ,15
3478,C5FGM3,TrEMBL,Viral A-type inclusion protein repeat protein ,15
3479,A0A0K8LRA3,TrEMBL,Golgin IMH1 ,15
3481,A0A238FH16,TrEMBL,BQ2448_4054 protein ,15
3482,A0A086T5R6,TrEMBL,N-acetyltransferase-like protein ,15
3483,A0A165CBN1,TrEMBL,Acyl-CoA N-acyltransferase ,15
3484,A0A0B8MYS6,TrEMBL,Uncharacterized protein ,15
3485,A0A109FBK8,TrEMBL,N-acetyltransferase GCN5 ,15
3486,A0A0E9NRB7,TrEMBL,Uncharacterized protein ,15
3487,D3B4B0,TrEMBL,HAG group protein ,15
3488,A0A0F0IF93,TrEMBL,Chromosome segregation protein SMC common bacterial type ,15
3489,A0A1X6MXK7,TrEMBL,Uncharacterized protein ,15
3490,F0XIU4,TrEMBL,Gcn5-related n-acetyltransferase ,15
3491,R4X737,TrEMBL,Putative GNAT family acetyltransferase ,15
3492,K5V5Q5,TrEMBL,Uncharacterized protein ,15
3493,Q0UR09,TrEMBL,Uncharacterized protein ,15
3494,A0A1V6T0S8,TrEMBL,Uncharacterized protein ,15
3495,W9XV50,TrEMBL,Acetyltransferase ,15
3496,A0A166DSU5,TrEMBL,Acyl-CoA N-acyltransferase ,15
3497,A0A094DYA2,TrEMBL,Uncharacterized protein ,15
3498,A0A0C9UBZ0,TrEMBL,Unplaced genomic scaffold SPHSTscaffold_156,15
3499,B6K3U7,TrEMBL,N-acetyltransferase Ats1 ,15
3500,W4JXY0,TrEMBL,Uncharacterized protein ,15
3501,A0A0F4YWU0,TrEMBL,Viral A-type inclusion protein repeat protein ,15
3502,F0ZX46,TrEMBL,Uncharacterized protein ,15
3503,A0A0M9VR68,TrEMBL,N-acetyltransferase ,15
3504,A0A0F4ZFE2,TrEMBL,Uncharacterized protein ,15
3505,A0A0B4FMP9,TrEMBL,Acetyltransferase ,15
3506,A0A0F7SQT5,TrEMBL,Diamine acetyltransferase ,15
3507,A0A1S8B4V4,TrEMBL,N-acetyltransferase ats1 ,15
3508,A0A0M8N9T7,TrEMBL,N-acetyltransferase ats1 ,15
3509,A0A0F4GW30,TrEMBL,N-acetyltransferase like protein ,15
3510,A0A0U5C3L0,TrEMBL,Putative N-acetyl transferase ,15
3511,D3B458,TrEMBL,HAG group protein ,15
3512,A0A1V8TZG0,TrEMBL,Uncharacterized protein ,15
3513,A0A284QQ93,TrEMBL,Related to n-acetyltransferase ,15
3514,I1S3D9,TrEMBL,Uncharacterized protein ,15
3515,A0A218YYT6,TrEMBL,Acetyltransferase ,15
3516,A0A060SDI7,TrEMBL,Uncharacterized protein ,15
3517,A0A1Y1U9I5,TrEMBL,Acyl-CoA N-acyltransferase ,15
3518,A0A165HDQ2,TrEMBL,Acyl-CoA N-acyltransferase ,15
3519,A0A178EW10,TrEMBL,Viral A-type inclusion protein repeat protein ,15
3520,E3RDP6,TrEMBL,Uncharacterized protein ,15
3521,P79081,SwissProt,N-acetyltransferase ats1,15
3522,B9TJ46,TrEMBL,Uncharacterized protein ,15
3523,A0A0D7BQ80,TrEMBL,N-acetyltransferase GCN5 ,15
3524,A0A0C3CAL4,TrEMBL,Uncharacterized protein ,15
3525,A0A1L9SU20,TrEMBL,Uncharacterized protein ,15
3526,A0A165PE60,TrEMBL,Acyl-CoA N-acyltransferase ,15
3527,S3DF94,TrEMBL,Acyl-CoA N-acyltransferases (Nat) ,15
3528,A0A165SUU0,TrEMBL,Acyl-CoA N-acyltransferase ,15
3529,A0A1Y1I2L9,TrEMBL,Diamine N-acetyltransferase ,15
3530,A0A0U1LZA2,TrEMBL,Golgin IMH1 ,15
3532,A0A0B7NJF7,TrEMBL,Uncharacterized protein ,15
3533,A0A1Z5SVP7,TrEMBL,Uncharacterized protein ,15
3534,A0A101MFY7,TrEMBL,Uncharacterized protein ,16
3535,W3XEY7,TrEMBL,Uncharacterized protein ,16
